"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","API Яндекс.Самокат","0","Список заказов","1","0","","0"
"0","API Яндекс.Самокат","0","Логин курьера","7","0","","0"
"0","API Яндекс.Самокат","0","Создание курьера","4","0","","0"
"0","API Яндекс.Самокат","0","Создание заказа","4","0","","0"
